h,features,fit_time_s,mae_raw,mae_kf,mae_rts,red_rts_pct
0,7,3.301398754119873,28.324764946016106,27.487014573883197,27.293576967375618,3.6405879469991005
1,11,4.183725357055664,26.92975791580779,27.25093478230846,26.344963567332577,2.171554420591129
2,15,4.623368501663208,25.822731594088538,26.626456509423573,25.391839722736034,1.6686533327525492
3,19,6.270458698272705,25.90681243774875,27.104895174456363,25.723676663494018,0.7069019961247205
4,23,6.8884851932525635,25.760995793219823,27.128172685058242,25.65791178569133,0.4001553680453046
5,27,10.757030010223389,25.404435888563082,26.945743066885438,25.381368846897225,0.09079926736827185
7,35,11.290690422058105,25.228759603819658,27.11362515256788,25.18021559423832,0.19241536382941507
10,47,13.169153690338135,25.002271432482736,27.002096234372786,25.03037139555722,-0.11238964087869997
