h,features,fit_time_s,mae_raw,mae_kf,mae_rts,red_rts_pct
0,7,4.997811794281006,27.7035880500184,27.248731399070827,26.540462865232396,4.198464049804667
1,11,8.767300844192505,26.60663644845121,26.800823345094155,25.84761599296124,2.852748625180505
2,15,12.853092193603516,26.16679130774805,26.45564627574323,25.499379814461125,2.5506050223639822
3,19,16.8470721244812,26.09263410899923,26.444950751946696,25.476046233545762,2.363072554797411
4,23,20.36446762084961,26.08247018057118,26.461555044869588,25.538374406163815,2.0860592215405283
5,27,22.837969064712524,25.945046042130617,26.27737249233356,25.365218441998685,2.2348297212129977
7,35,33.529618978500366,25.946381673948327,26.243642995391724,25.36255015857515,2.2501461772582254
10,47,38.48183298110962,25.880328360036128,26.20360623144259,25.320607178105195,2.162728285917895
